"century","label","tense","count"
13,"IP-MAT","BEDI",1
16,"IP-MAT","BEDI",1
16,"IP-SUB","BEDI",2
17,"IP-MAT","BEDI",4
17,"IP-MAT","BEPI",1
17,"IP-SUB","BEDI",6
17,"IP-SUB","BEPI",1
18,"IP-MAT","BEDI",5
18,"IP-SUB","BEDI",3
18,"IP-SUB","BEPS",1
19,"IP-MAT","BEDI",20
19,"IP-MAT","BEPI",1
19,"IP-SUB","BEDI",15
19,"IP-SUB","BEDS",1
20,"IP-MAT","BEDI",38
20,"IP-MAT","BEDS",1
20,"IP-MAT","BEPI",13
20,"IP-SUB","BEDI",32
20,"IP-SUB","BEDS",13
20,"IP-SUB","BEPI",10
20,"IP-SUB","BEPS",4
21,"IP-MAT","BEDI",30
21,"IP-MAT","BEPI",6
21,"IP-SUB","BEDI",15
21,"IP-SUB","BEDS",14
21,"IP-SUB","BEPI",6
21,"IP-SUB","BEPS",2
