"Text","Genre","Year","subjtopic-V n","subjtopic-V %","V-subjtopic n","V-subjtopic %","XP-V-subjtopic n","XP-V-subjtopic %","scaled_Year","total_counts","successes","failures"
"Eintal","rel",1593,197,0.61,0,0,126,0.39,-0.0176348755535532,323,126,197
"Okur","rel",1611,88,0.66,0,0,49,0.36,0.0543468841408769,137,49,88
"Olafuregils","bio",1628,51,0.34,0,0,98,0.66,0.122329657185616,149,98,51
"Gerhard","rel",1630,119,0.69,1,0.01,53,0.31,0.130327630484997,173,53,120
"Illugi","nar",1650,223,0.4,194,0.35,134,0.24,0.210307363478809,551,134,417
"Pislarsaga","bio",1659,5,0.07,23,0.31,46,0.62,0.246298243326024,74,46,28
"Indiafari","bio",1661,266,0.66,16,0.04,124,0.31,0.254296216625405,406,124,282
"Armann","nar",1675,73,0.31,94,0.4,69,0.29,0.310282029721073,236,69,167
"Magnus","bio",1675,19,0.54,7,0.2,9,0.26,0.310282029721073,35,9,26
"Modars","nar",1675,49,0.47,22,0.21,34,0.32,0.310282029721073,105,34,71
"Skalholt","nar",1680,44,0.24,103,0.56,36,0.2,0.330276962969525,183,36,147
"Vidalin","rel",1720,160,0.6,4,0.02,101,0.38,0.490236428957148,265,101,164
"Biskupasogur","nar",1725,47,0.26,56,0.31,79,0.43,0.5102313622056,182,79,103
"Klim","nar",1745,145,0.5,6,0.02,141,0.48,0.590211095199412,292,141,151
"Fimmbraedra","nar",1790,164,0.37,149,0.34,128,0.29,0.770165494435487,441,128,313
"Jonsteingrims","bio",1791,204,0.38,186,0.35,146,0.27,0.774164481085177,536,146,390
"Hellismenn","nar",1830,52,0.15,242,0.7,53,0.15,0.930124960423109,347,53,294
"Jonasedli","sci",1835,20,0.53,0,0,18,0.47,0.950119893671562,38,18,20
"Piltur","nar",1850,188,0.6,42,0.13,83,0.27,1.01010469341692,313,83,230
"Hugvekjur","rel",1859,134,0.56,7,0.03,98,0.41,1.04609557326414,239,98,141
"Orrusta","nar",1861,211,0.51,101,0.24,103,0.25,1.05409354656352,415,103,312
"Torfhildur","nar",1882,372,0.69,33,0.06,136,0.25,1.13807226620702,541,136,405
"Voggur","nar",1883,24,0.8,0,0,6,0.2,1.14207125285671,30,6,24
"Grimur","nar",1888,134,0.76,0,0,42,0.24,1.16206618610516,176,42,134
"Vordraumur","nar",1888,149,0.72,0,0,59,0.28,1.16206618610516,208,59,149
"Fossar","nar",1902,352,0.7,6,0.01,146,0.29,1.21805199920083,504,146,358
"Leysing","nar",1907,359,0.64,24,0.04,181,0.32,1.23804693244928,564,181,383
"Ofurefli","nar",1908,452,0.79,10,0.02,108,0.19,1.24204591909897,570,108,462
"Arin","rel",1920,200,0.59,10,0.03,131,0.38,1.29003375889526,341,131,210
"Margsaga","nar",1985,406,0.64,12,0.02,215,0.34,1.54996789112515,633,215,418
"Sagan","nar",1985,356,0.7,2,0,151,0.3,1.54996789112515,509,151,358
"Mamma","nar",2008,585,0.81,10,0.01,129,0.18,1.64194458406803,724,129,595
"Ofsi","nar",2008,224,0.74,17,0.06,63,0.21,1.64194458406803,304,63,241
