"text","year","t.T","total_rT","relative_frequency","Genre"
"aevintyri",1475,1201,17,14.1548709408826,"nar"
"alexander",1300,1383,57,41.2147505422994,"nar"
"arin",1920,1149,28,24.3690165361184,"rel"
"armann",1675,1018,8,7.85854616895874,"nar"
"arni",1325,1125,39,34.6666666666667,"nar"
"bandamenn",1450,1034,1,0.967117988394584,"nar"
"bandamennM",1350,1223,6,4.90596892886345,"nar"
"biskupasogur",1725,1105,35,31.6742081447964,"nar"
"ectorssaga",1450,1950,19,9.74358974358974,"nar"
"eintal",1593,1552,40,25.7731958762887,"rel"
"erasmus",1525,462,25,54.1125541125541,"nar"
"fimmbraedra",1790,1603,21,13.1004366812227,"nar"
"finnbogi",1350,2342,34,14.5175064047822,"nar"
"firstgrammar",1150,182,7,38.4615384615385,"sci"
"fossar",1902,1659,64,38.5774562989753,"nar"
"georgius",1525,1060,31,29.2452830188679,"nar"
"gerhard",1630,701,25,35.6633380884451,"rel"
"gragas",1270,346,7,20.2312138728324,"law"
"grettir",1310,2057,33,16.0427807486631,"nar"
"grimur",1888,625,24,38.4,"nar"
"gunnar",1400,936,5,5.34188034188034,"nar"
"gunnar2",1400,340,5,14.7058823529412,"nar"
"hellismenn",1830,1411,9,6.37845499645641,"nar"
"homiliubok",1150,2109,109,51.683262209578,"rel"
"hugvekjur",1859,1107,56,50.5871725383921,"rel"
"illugi",1650,1929,20,10.3680663556247,"nar"
"indiafari",1661,1388,81,58.35734870317,"bio"
"jarlmann",1480,1283,9,7.01480904130943,"nar"
"jartein",1210,822,24,29.1970802919708,"rel"
"jomsvikingar",1260,1532,51,33.289817232376,"nar"
"jonasedli",1835,163,9,55.2147239263804,"sci"
"jonsteingrims",1791,1518,110,72.463768115942,"bio"
"judit",1450,491,7,14.2566191446029,"rel"
"klim",1745,874,94,107.551487414188,"nar"
"leysing",1907,1520,56,36.8421052631579,"nar"
"magnus",1675,204,6,29.4117647058824,"bio"
"mamma",2008,1845,109,59.0785907859079,"nar"
"margsaga",1985,1705,57,33.4310850439883,"nar"
"marta",1350,977,50,51.1770726714432,"rel"
"modars",1675,373,6,16.0857908847185,"nar"
"morkin",1275,2190,19,8.67579908675799,"nar"
"ntacts",1540,1185,36,30.379746835443,"rel"
"ntjohn",1540,1685,56,33.2344213649852,"rel"
"ofsi",2008,1210,53,43.801652892562,"nar"
"ofurefli",1908,1743,27,15.4905335628227,"nar"
"okur",1611,629,28,44.5151033386327,"rel"
"olafuregils",1628,906,65,71.7439293598234,"bio"
"orrusta",1861,1804,12,6.65188470066519,"nar"
"piltur",1850,1440,30,20.8333333333333,"nar"
"pislarsaga",1659,324,41,126.543209876543,"bio"
"sagan",1985,2008,57,28.3864541832669,"nar"
"skalholt",1680,870,33,37.9310344827586,"nar"
"sturlunga",1250,2224,54,24.2805755395683,"nar"
"thetubrot",1250,246,0,0,"nar"
"thorlakur",1210,540,30,55.5555555555556,"rel"
"torfhildur",1882,2000,25,12.5,"nar"
"vidalin",1720,1112,73,65.6474820143885,"rel"
"viglundur",1400,1290,10,7.75193798449612,"nar"
"vilhjalmur",1450,2414,18,7.45650372825186,"nar"
"voggur",1883,130,8,61.5384615384615,"nar"
"vordraumur",1888,759,41,54.0184453227931,"nar"
